Tweet_count,Username,Text,Created At,Retweets,Likes
27,Patricio Andolini 🇨🇵🇮🇹 🇮🇱 ⚡️PFM Soutien FDO⚡,"Une excellente nouvelle pour l économie française  , la moitié du déficit de la France vient d être comblée  . En effet  , seul 18% des retraités vivant en Algérie ont droit à la retraite  . Cela veut dire que 82 % ne devraient  pas  toucher cette retraite .  Ils sont soit morts https://t.co/Pz7rrrOu9Y",Tue Sep 10 06:37:26 +0000 2024,3253,6501
28,Patricio Andolini 🇨🇵🇮🇹 🇮🇱 ⚡️PFM Soutien FDO⚡,Vision d horreur que de voir ces Islamistes en France et qui sont les grands amis de la France Insoumise  ( Vidéo d un islamiste avec faute d orthographe  ) https://t.co/QXjFVqlW1k,Tue Sep 10 11:42:43 +0000 2024,551,1129
29,Amazing eyes,"Paris, France 🇫🇷 https://t.co/UV6DwcDwKT",Thu Sep 12 18:23:00 +0000 2024,194,1242
30,Wolf 🐺,🇫🇷↔️🇵🇱 Quelle est la différence entre les piscines en France et en Pologne❓ https://t.co/lB2hIipbVW,Tue Sep 10 11:15:18 +0000 2024,296,853
31,Patricio Andolini 🇨🇵🇮🇹 🇮🇱 ⚡️PFM Soutien FDO⚡,J ai envie de vous faire rire un peu  . Il paraît que des algériens ont construit la muraille de Chine  😂😂😂 . C est un fou  qui a inventé cette histoire et fait cette vidéo  . De nombreux électeurs de la France Insoumise croient  en cette histoire   😂😂😂 https://t.co/mMFE6UzD76,Wed Sep 11 16:21:27 +0000 2024,368,1446
32,FranceUnie 🇫🇷,"🔴 Myriam Meyer (professeure de français et de latin) : « Pour le brevet des collèges, si l’élève écrit ""la"" ou ""l’a"", cela n’est pas considéré comme une faute car il a eu l’idée du son. C’est l’une des consignes que nous recevons. »
#Cnews #Hdpros https://t.co/TCMwVXNBjy",Tue Sep 10 15:13:07 +0000 2024,3960,9420
33,Patricio Andolini 🇨🇵🇮🇹 🇮🇱 ⚡️PFM Soutien FDO⚡,Il était une fois Sébastien Delogu le député de la France Insoumise  ... https://t.co/y2EHxvREYA,Tue Sep 10 16:42:31 +0000 2024,440,1067
34,Fil Rouge France,"Myriam Meyer (professeure de français et de latin) : « Pour le brevet des collèges, si l’élève écrit ""la"" ou ""l’a"", cela n’est pas considéré comme une faute car il a eu l’idée du son. C’est l’une des consignes que nous recevons.
Un commentaire ? https://t.co/KyoDoruyA8",Tue Sep 10 16:05:23 +0000 2024,2225,4165
35,FranceUnie 🇫🇷,"🔴 Rennes (35) - M.Pires (éleveur) :""En 12 ans, j’ai eu plus de 700 animaux volés par des bandes organisées en camion pour Pâques, Noël ou l’Aïd. La façon de tenir le mouton n’est pas anodine, on dirait un berger qui est venu chercher la nourriture pour sa famille.""
#Cnews https://t.co/yoymIs2YTu",Wed Sep 11 07:13:55 +0000 2024,1215,1969
36,Patricio Andolini 🇨🇵🇮🇹 🇮🇱 ⚡️PFM Soutien FDO⚡,"Pour terminer aujourd'hui ,  une petite blague sur Louis Boyard le député de la France Insoumise   . Bonne soirée et à demain   🍻 https://t.co/k0fs6da1NT",Mon Sep 09 18:20:32 +0000 2024,301,954
37,Patricio Andolini 🇨🇵🇮🇹 🇮🇱 ⚡️PFM Soutien FDO⚡,La photo qui tue et qui devrait ouvrir les yeux des français  . Thomas Portes le député de la France Insoumise avec son écharpe tricolore  et Rima Hassan la députée européenne  sous le regard narquois et admiratif  de Elias Dimzalème  le prédicateur salafiste fiché S  qui lance https://t.co/4PZr7tP00X,Tue Sep 10 08:27:12 +0000 2024,1954,2650
38,Wcrt L,"Éric Coquerel démolit Bruno Le Maire en commission des finances.

« - Le meilleur carburant du Rassemblement national, c'est La France insoumise.
- Ce n'est pas nous qui avons soumis des noms de Premiers ministres au Rassemblement national. » 
https://t.co/THYADORbe7",Mon Sep 09 20:42:46 +0000 2024,661,2952
39,Media Bayern France,"La reine Elizabeth II est décédé il y a 2 ans jour pour jour…

Quel est votre joueur préféré du Bayern 2024/2025 ? https://t.co/Q8ZV27Jfkb",Mon Sep 09 20:02:05 +0000 2024,691,12680
40,Patricio Andolini 🇨🇵🇮🇹 🇮🇱 ⚡️PFM Soutien FDO⚡,Écoutez ce que Jean Luc Melenchon a dit au micro de Sky News  . Regardez ses yeux de fous  . La France Insoumise est un danger mortel  pour la France  !!! https://t.co/3PcwhcTSpC,Mon Sep 09 06:32:16 +0000 2024,553,1700
41,🇫🇷 Patriote Reconquete Sécurité 🐦 🇮🇱,👊👍 Il fut un temps l'équipe de France 🇫🇷 https://t.co/0JkgIyfylo,Tue Sep 10 16:38:24 +0000 2024,809,4369
42,iyasoony,"Je sais pas si vous vous rendez compte du soft power qu’on est entrain de faire en ce moment ? 🇩🇿
Une marque Algérienne avec un logo d’une femme en tenue traditionnelle algérienne en pleine matinale de la chaine de news #1 en France… https://t.co/8UcV2t3jNv",Tue Sep 10 12:27:45 +0000 2024,534,5397
43,Patricio Andolini 🇨🇵🇮🇹 🇮🇱 ⚡️PFM Soutien FDO⚡,Le vrai visage de la France insoumise . Pas un drapeau français  . Cette extrême gauche keffieh me fait vomir !!! https://t.co/3Jb80PmHA5,Mon Sep 09 12:07:14 +0000 2024,1213,4271
44,Alain Weber,"Mais dites-moi les algériens ? Quel pays ? L’Algérie n’existait pas, la région était peuplée de tribus qui s’entretuaient pour une chèvre volée, le nom Algérie est français, le drapeau algérien est l’œuvre d’une française. Sans la France vous ne seriez rien, alors… https://t.co/8lFIHankFW",Mon Sep 09 12:47:26 +0000 2024,2148,10326
45,Patricio Andolini 🇨🇵🇮🇹 🇮🇱 ⚡️PFM Soutien FDO⚡,Quand la France insoumise est devenue palestinienne et anti France  . https://t.co/qGxKVYwHDH,Mon Sep 09 11:58:25 +0000 2024,2060,5827
46,AlertesInfos,🇫🇷 FLASH - Michel Barnier réfléchit au retour d’un ministère de l’Immigration. (France Info) https://t.co/TRVzHFuRTV,Mon Sep 09 15:19:33 +0000 2024,513,11626
47,Réalité Actuelle,"Édouard Philippe estime que la France ne doit pas changer de politique.
En route pour l'invasion migratoire et les crimes qui vont avec et l'explosion de la dette https://t.co/AigcLmNnlM",Wed Sep 11 17:56:19 +0000 2024,762,1636
