Tweet_count,Username,Text,Created At,Retweets,Likes
60,Dismus🇰🇪🇺🇸,"The United States is supplying Kenya with approximately 150 M1117 Armored Security Vehicles from its surplus defense inventory, expected to arrive in Kenya by September 2024.
#KenyaReapsBig
USA invests in Kenya
#CitizenDayBreak https://t.co/G1ppFsr6qm",Mon May 27 04:07:26 +0000 2024,0,0
61,Web Tech Mantra,"The Ultimate International Student’s Guide to Study in the USA: 2024 Edition

The United States of America continues to reign as a premier destination for higher education.

#USA #International #Student #Study #Edition #States #webtechmanthra #course 

https://t.co/FWWNeA5i3K https://t.co/guInG1XotM",Fri May 10 15:33:01 +0000 2024,0,0
62,EPA Images,"A pro-Palestinian protester rallies outside the White House to protest against support of Israel by the United States and to condemn an Israeli strike in Gaza last weekend; in Washington, DC, USA, 28 May 2024. 
📸 EPA / Michael Reynolds https://t.co/UALslVUtUN",Wed May 29 03:15:34 +0000 2024,4,1
63,Israel & USA forever,"Lady GaGa said She would leave the United States if Donald Trump becomes President in 2024.

Thoughts? https://t.co/UuAKnAzk3d",Mon May 27 23:33:36 +0000 2024,535,6776
64,EPA Images,"A person carries a flower as she walks among tombstones decorated with American flags on Memorial Day at the Golden Gate National Cemetery, A United States Military cemetery in San Bruno, California, USA, 27 May 2024. 
📸 EPA / John G. Mabanglo
#Memorial Day https://t.co/xH7FB07pIC",Tue May 28 00:40:35 +0000 2024,0,0
65,2024 Democratic National Convention,"BREAKING: @JoeBiden has become the Democratic Party’s presumptive nominee for U.S. President after surpassing 1,968 pledged delegates.

Next stop: The Democratic National Convention, taking place in Chicago from August 19-22! #DNC2024 https://t.co/ndszWgfKRl",Tue Mar 12 23:56:48 +0000 2024,164,549
66,Brad Smith 🇺🇲🇺🇸🇺🇲,"Hey @DenaliNPS absolutely disgusting that you told construction workers that they couldn't fly the flag of The United States of America on their trucks. You are a National Park.  Brooke Merrell is an embarrassment to the USA.  🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲

https://t.co/0xkaTsEK6o",Sat May 25 14:00:08 +0000 2024,27,103
67,Startup Pakistan,"US News has released its latest global power rankings for 2024, highlighting the United States' continued leadership position, bolstered by its robust technological, financial, and entertainment sectors. 

#India #UK #Globalpowerankings #Overtakes #GDP https://t.co/90oxrYO3OL",Mon Apr 15 20:05:05 +0000 2024,49,357
68,World Elects,"🇺🇸#USA, 2024 presidential election poll:

🔼Biden (D): 44 % (+2)
🔽Trump (R): 43 % (-1)

Morning Consult, 03/03/24 https://t.co/sQjUPNApbg",Sat Mar 09 17:45:30 +0000 2024,68,877
69,Uzalendo News,"United States of America (USA) President Joe Biden on Wednesday, May 22, 2024, hosted President William Ruto for a roundtable on technology at the White House in Washington, D.C.

President Ruto lauded the U.S. for putting more resources into the digital space.

The President https://t.co/t0zWCGNHrL",Thu May 23 11:41:21 +0000 2024,2,1
70,Taylor A. Smith,"Today is Tuesday, April 30, 2024 &amp; POTUS Joe R. Biden has been in office for 1,196 days. President Biden wants to ban assault weapons &amp; high-capacity magazines, expand voting rights, and address climate change. Plans for a better &amp; safer America. Tap💙RT for #JoeBiden https://t.co/rZ9gkb3eYW",Tue Apr 30 11:09:12 +0000 2024,141,212
71,World Elects,"🇺🇸#USA, 2024 presidential election poll:

🔼Biden (D): 50 % (+2)
🔼Trump (R): 48 % (+1)

Marist College, 28/03/24 https://t.co/DQD08mfLUN",Wed Apr 03 14:20:28 +0000 2024,34,230
72,Taylor A. Smith,"It’s Tues. April 2, 2024 &amp; POTUS Joe R. Biden has been in office for 1,168 days. In 2021, someone instructed Americans to ‘fight like hell, or they wouldn’t have a country anymore’. They fought, he lost, and in 2024, America has the #1 economy in the world. Tap💙RT for #JoeBiden https://t.co/DDAV0snT8X",Tue Apr 02 10:58:58 +0000 2024,415,751
73,Israel & USA forever,"Biden supporters say they will leave the United States if Donald Trump is elected President in 2024. 

Thoughts? https://t.co/6pkxky0PMD",Thu May 16 02:13:59 +0000 2024,607,6015
74,Israel & USA forever,"Bill Gates and Hillary Clinton say they will leave the United States if Donald Trump becomes President in 2024.

Thoughts? https://t.co/mS1B26GOqw",Wed May 29 16:28:47 +0000 2024,130,382
75,The Kenya We Want,"Kenya - USA Relations🇰🇪🇺🇸

On 20th May 2024, In the United States of America, President William Ruto will grace the Diaspora Tech Investment Expo at the Cobb Galleria Centre in Atlanta, Georgia.

@HadhiamboHellen @MakeItKenya @ForeignOfficeKE @SingoeiAKorir @Diaspora_KE https://t.co/XB6MmNkHpJ",Sun May 19 14:07:10 +0000 2024,0,1
76,EPA Images,"Tombstones of service men and women are decorated with American flags that flap in the wind on Memorial Day at the Golden Gate National Cemetery, A United States Military cemetery in San Bruno, California, USA, 27 May 2024.
📸 EPA / John G. Mabanglo https://t.co/PeGNCJAuOC",Tue May 28 08:15:39 +0000 2024,0,1
77,World Elects,"🇺🇸#USA, 2024 presidential election poll:

⏫Biden (D): 52 % (+4)
⏬Trump (R): 48 % (-4)

Marquette University Law School, 28/03/24 https://t.co/XQzvhruDgl",Thu Apr 04 09:59:28 +0000 2024,80,519
78,Zhang Meifang,"Considering studying abroad and also dreaming of higher education in the United States? Well then, the 2024 Education USA College &amp; University Fair is a big opportunity to learn the latest information on studying in the United States.

There are three stops in China this spring https://t.co/qVOv5zSFSK",Tue May 28 13:26:50 +0000 2024,2,4
79,USA Hockey,"Introducing the first fifteen members of the 2024 U.S. Men's National Team! 🇺🇸

#MensWorlds roster details → https://t.co/sNQ5JMERag https://t.co/vgPNAPSRWm",Wed Apr 24 18:01:10 +0000 2024,502,3273
80,Americold,"We are excited to introduce our Americold Internship Experience 2024 class in the United States! A cohort of 31 college students have joined us at our global headquarters today in Atlanta, GA, USA to kick off our summer internship program. Welcome to Americold family! https://t.co/oKKfPxMHC5",Tue May 28 18:31:54 +0000 2024,0,2
81,Israel & USA forever,"Joe Biden says illegal immigrants will leave the United States if Donald Trump becomes President in 2024.

Thoughts? https://t.co/5p86qSKfHu",Sun May 26 22:22:12 +0000 2024,1026,7484
82,The Bawumia Campaign 2024,"Dr. Mahamudu Bawumia in Washington, United States, joined executives of NPP USA Branch, and dignitaries, including some NPP national executives and senior government officials, for the 30th anniversary celebration of NPP USA Branch. 

He reminisced about its difficult beginning, https://t.co/NkJnc9HlF5",Tue May 28 10:49:04 +0000 2024,29,83
83,Polling USA,"Presidential Polling:

All:
Trump (R): 41%
Biden (D): 40%
Kennedy (I): 16%

18-29 Year Olds:
Trump (R): 37%
Biden (D): 36%
Kennedy (I): 24%

SplitTicket / March 28, 2024 / n=821 https://t.co/12luBcwhzF",Mon Apr 15 22:57:18 +0000 2024,12,216
84,DatoWorld,"🇺🇲 EEUU - Presidenciales 2024

🔴 Donald Trump - 49%
🔵 Joe Biden - 43%

Encuesta CNN poll - Abril https://t.co/iX2Hp2IiGn",Sun Apr 28 15:10:32 +0000 2024,115,524
85,Darrin J. Mitchell,"🇺🇸 Memorial Day Remembrance 2024: U.S. Army 

History: The United States Army (USA) is the land service branch of the United States Armed Forces. It is one of the eight U.S. uniformed services and is designated as the Army of the United States in the U.S. Constitution.

The Army https://t.co/WmCo2PURQL",Tue May 28 06:59:47 +0000 2024,0,0
86,Use Yandex Search Engine for Anti Zionist searches,"2024 is the year Americans no longer needed to wonder if USA is truly United States Of #Israel. 

US Congress are #AIPAC Mossad plants. 

USA doesn't have autonomy. Anti Semitism bill explained. 

USA needs 'Goy protection laws'. https://t.co/nMikc18dZj",Fri May 10 14:21:40 +0000 2024,14,19
87,Democrats,"Our path to a Democratic 2024 🌊victory is tied to 12 key swing states:  AZ, GA, MI, NV, NH, NC, PA, and WI.  

MT and OH for the Senate. 
CA and NY for the House. 

⭐️Reelect Joe 
⭐️Protect our Senate Majority 
⭐️Win the House. 
⭐️Win the State Level.  

Yes we can!
#DemVoice1 https://t.co/n925AEacdz",Sat Mar 09 04:08:26 +0000 2024,163,224
88,Effie United States,"2024 #EffieUS Rankings: Top 3 Independent Agencies
1. @mischief_usa
2. @WiedenKennedy
3. @gutmiami 

#effies https://t.co/ii5wbXlML8",Fri May 24 01:31:17 +0000 2024,2,4
